a inode 020032
l pget 012000
i 012000 010001
i 012002 006201
i 012004 006201
i 012006 006201
i 012010 006201
i 012012 006201
i 012014 006201
i 012016 006201
i 012020 006201
i 012022 006201
i 012024 020127
x 012026 000010
i 012030 100006
i 012032 006301
i 012034 062701
x 012036 020034
i 012040 011100
i 012042 005700
i 012044 001002
n 1 012046
i 012046 012700
x 012050 177777
n 2 012052
i 012052 000207
l bread 013000
i 013000 005700
i 013002 100003
i 013004 012700
x 013006 177777
i 013010 000207
n 0 013012
i 013012 020027
x 013014 000020
i 013016 100024
i 013020 010002
i 013022 006302
i 013024 006302
i 013026 006302
i 013030 006302
i 013032 006302
i 013034 006302
i 013036 006302
i 013040 006302
i 013042 006302
i 013044 062702
x 013046 040000
i 013050 010103
i 013052 012704
x 013054 000400
n 2 013056
i 013056 012223
i 013060 005304
i 013062 001375
i 013064 005000
i 013066 000207
n 3 013070
i 013070 012700
x 013072 177777
i 013074 000207
