class	location	unit	sha256	role	comparison_or_note
A	machines/pdp7/pdp7-unix/scans/bi.s	4352 bytes	71cd49a8c5f44a434e894b253d34757f87b49cdfcd2d2a1ab1475eee7bf4eb9f	OCR transcription of surviving B interpreter scan	Active and retained-reference copies identical
A	machines/pdp7/pdp7-unix/scans/bl.s	2327 bytes	c0cb341d30d17bd8354c7804700c16c6d96222b88d4dd0e93dc21a93ac3e021e	OCR transcription of surviving B I/O/startup library scan	Active and retained-reference copies identical
A	machines/pdp7/pdp7-unix/scans/bc.s	3262 bytes	c9cb1196c3a24501aef20599f9d5be33ebec104e016a1f19ac16e6241bac4b15	OCR transcription of surviving B interpreter diagnostic wrapper	Not installed or built by default; not the current compiler
A	machines/pdp7/pdp7-unix/scans/ind.b	447 bytes	cb1553dd27312da3cfae6935f391e16569266b5996345ffa4a023ca0746ae132	Surviving B example/filter transcription	Active and retained-reference copies identical
A	machines/pdp7/pdp7-unix/scans/lcase.b	368 bytes	18b3fb52484645de584e9f083b1148e7c4749e9c553b3a6bc7563150e99e8d58	Surviving B example/filter transcription	Active and retained-reference copies identical
A	machines/pdp7/pdp7-unix/scans/op.s	1271 bytes	e2663143cf3fe2322fbb5f7fe0b8dfb80f86bff19c4e9472ce8ef0b728a28a7c	Surviving PDP-7 assembler opcode/system-call definitions	Required by native assembly invocation
B	machines/pdp7/pdp7-unix/src/cmd/bi.s	4393 bytes	151edb3051c70f79939e49571ab166a2e9737b055ac58b1d69af2cbe7aa5f82b	Runnable restoration of surviving B interpreter	Differs from scan at ecla workaround plus blank line; active/reference identical
B	machines/pdp7/pdp7-unix/src/cmd/bl.s	2168 bytes	4e9ea9f4872333070d413f83225b6d73b426b224ff63d206bf4f399b10e44d3d	Runnable restoration of surviving B I/O/startup library	Line endings normalized and sys save replaced by sys exit; active/reference identical
A	machines/pdp7/pdp7-unix/src/cmd/bc.s	3262 bytes	c9cb1196c3a24501aef20599f9d5be33ebec104e016a1f19ac16e6241bac4b15	Unmodified surviving interpreter diagnostic wrapper	Exact scan match; omitted from default cmd target and filesystem
A	machines/pdp7/pdp7-unix/src/cmd/ind.b	447 bytes	cb1553dd27312da3cfae6935f391e16569266b5996345ffa4a023ca0746ae132	Unmodified surviving B program	Exact scan match
