probe	source_inode	source_words	source_text_sha256	emitted_inode	emitted_words	emitted_text_sha256	executable_inode	executable_words	executable_word_sha256	observed_output
pstore	120	60	bdae8fb5ef92bf757cf6114e26ae3e0923a64e1dd1ad833e94bd27a2944d0425	125	101	8748c172da06d8e57aae59e452ba9b02bbfe674b8282deb5ad1c1253ab18a180	126	598	39733f9685e7a828953cac67e57f6f90ab16ddd9c61bef36ec8b8d27f1a92e1c	s2
pbrnch	121	136	e433e17620d02dc77feaca73754f0bb695785a1b65db1a0ab37590d3711325e4	128	228	d9e4c8b82daef2dfa4663d6ddc40cf6cdb1fc0f0efb32065d79efa5ee3de97f2	129	650	d64c3d5c2d5ebe4f2db10a02ac063f0adfcdde6ee98afddaefa53924db8fc1c6	b4
ploop	122	81	65068a1557f8a8c3e521ddfc979e160461995f5c465830670afd1d7108d3a224	130	128	c78e01b24ee8f4c41b775762a9f6b177518649efc45293b9725f9b728dae1d8a	131	608	b513c59de29b77ceba574e31be379b59e30e389fbf8556a5b1754d49a05a9c27	l5
pargs	123	54	d5a7f3a7147a5ac285292ec4b071c0077153c6f6c1cce24ac160ad3189f6855e	132	91	b5640c8bf023120acfd0f80707fc89ae8a52dd446d5ed2853a91f35537f5bdff	133	591	1df8b3bf0ee2c933fcc6fdc1da758ae844a722a095734a7ecb745a6cefe1a3f4	g7
pext	124	21	fe80bd143dbfbb76e5a78ef2d3f06d1432e4cd4b3a8d206a95d4bc73ed452447	134	25	7d68781e9dc7290e7b2b97b2e6f2e09f56d0db347187860b5366f259e8b83fee	135	566	f6d9cd1d3cf3ec9c19ced270cef513e9a115e83d506e9a90d3beb4814c87c730	e9
pcnst2	136	109	d70390435d3eef4796b0abb6144b325884bcf057d9f41e50eb744ef2c1ddc43c	140	182	1d9dcf9c5ba0c128cc1f5ffbe77372aa90564b754c9bc29840330532cbe86bcf	141	633	9596a44961077cf7607179cce51c47c52519a39c2e761b8e27088d2e94a8110a	c1
parth2	137	154	a509b7733289edfb92620c36fee2c39e78f4cd803fd28e38ffcdfceb774b1bbb	142	267	e6d536b6953993d71db20ee07e87a0c242ac06dc04959ea2ba98b56b6a99fe5a	143	669	d988e513bc350b436bd446eda3e8783d510fa9126ee1cf78bd3f4f0c9611c043	a3
pvec2	138	56	026cca69f837dd1faccbf347c50ea420afb1ff721db652d41e84d4deba29f939	144	103	12beb3408af91bdbc77883b533a9c81efa8d13c39c3d7554beed58cced7b1163	145	599	896b28da9b537604b3e4637784f0262ddacf771d256ff2c56bf0a4bc70a9ba48	v8
pind	139	54	379eb74d9042b3e5b7bdd753b245b9c9cf81a604e09a8226943b1ad368ae3e92	146	92	5bae6af4d8b30c043e6bd76425ca5f68a78cf043b3fc02ad293b07746ba0214a	147	594	1c588d4c35946c07c1b6f865bfffe788c80b4240e7c6c3e7e32f73e78f35b1e6	i8
pcall	148	50	c2b5858d36ab48d8fb98cc0fd65d5bce9db09922e65d149abab4bd952b2b0d3c	149	82	db22374468dcf0bbf29765edb605945727bb8c0566f0fbe56ccf7077bc12cd3c	150	586	912968d570edb366ad8add16f5dd0cf4c715a8b2ed9c29128296ad8d4eea4bbc	c6
